Grid_ID,Grid_Row,Grid_Col,Center_Latitude,Center_Longitude,Min_Latitude,Max_Latitude,Min_Longitude,Max_Longitude
0_0,0,0,38.884555,139.72058,38.83951,38.9296,139.663417,139.777743
1_0,0,1,38.884555,139.834906,38.83951,38.9296,139.777743,139.892069
2_0,0,2,38.884555,139.949232,38.83951,38.9296,139.892069,140.006395
3_0,0,3,38.884555,140.063558,38.83951,38.9296,140.006395,140.120721
4_0,0,4,38.884555,140.177884,38.83951,38.9296,140.120721,140.235047
5_0,0,5,38.884555,140.29221,38.83951,38.9296,140.235047,140.349373
6_0,0,6,38.884555,140.406536,38.83951,38.9296,140.349373,140.463699
7_0,0,7,38.884555,140.520862,38.83951,38.9296,140.463699,140.578025
8_0,0,8,38.884555,140.635188,38.83951,38.9296,140.578025,140.692351
9_0,0,9,38.884555,140.749514,38.83951,38.9296,140.692351,140.806677
10_0,0,10,38.884555,140.86384,38.83951,38.9296,140.806677,140.921003
11_0,0,11,38.884555,140.978166,38.83951,38.9296,140.921003,141.035329
12_0,0,12,38.884555,141.092492,38.83951,38.9296,141.035329,141.149655
0_1,1,0,38.974645,139.72058,38.9296,39.01969,139.663417,139.777743
1_1,1,1,38.974645,139.834906,38.9296,39.01969,139.777743,139.892069
2_1,1,2,38.974645,139.949232,38.9296,39.01969,139.892069,140.006395
3_1,1,3,38.974645,140.063558,38.9296,39.01969,140.006395,140.120721
4_1,1,4,38.974645,140.177884,38.9296,39.01969,140.120721,140.235047
5_1,1,5,38.974645,140.29221,38.9296,39.01969,140.235047,140.349373
6_1,1,6,38.974645,140.406536,38.9296,39.01969,140.349373,140.463699
7_1,1,7,38.974645,140.520862,38.9296,39.01969,140.463699,140.578025
8_1,1,8,38.974645,140.635188,38.9296,39.01969,140.578025,140.692351
9_1,1,9,38.974645,140.749514,38.9296,39.01969,140.692351,140.806677
10_1,1,10,38.974645,140.86384,38.9296,39.01969,140.806677,140.921003
11_1,1,11,38.974645,140.978166,38.9296,39.01969,140.921003,141.035329
12_1,1,12,38.974645,141.092492,38.9296,39.01969,141.035329,141.149655
0_2,2,0,39.064735,139.72058,39.01969,39.10978,139.663417,139.777743
1_2,2,1,39.064735,139.834906,39.01969,39.10978,139.777743,139.892069
2_2,2,2,39.064735,139.949232,39.01969,39.10978,139.892069,140.006395
3_2,2,3,39.064735,140.063558,39.01969,39.10978,140.006395,140.120721
4_2,2,4,39.064735,140.177884,39.01969,39.10978,140.120721,140.235047
5_2,2,5,39.064735,140.29221,39.01969,39.10978,140.235047,140.349373
6_2,2,6,39.064735,140.406536,39.01969,39.10978,140.349373,140.463699
7_2,2,7,39.064735,140.520862,39.01969,39.10978,140.463699,140.578025
8_2,2,8,39.064735,140.635188,39.01969,39.10978,140.578025,140.692351
9_2,2,9,39.064735,140.749514,39.01969,39.10978,140.692351,140.806677
10_2,2,10,39.064735,140.86384,39.01969,39.10978,140.806677,140.921003
11_2,2,11,39.064735,140.978166,39.01969,39.10978,140.921003,141.035329
12_2,2,12,39.064735,141.092492,39.01969,39.10978,141.035329,141.149655
0_3,3,0,39.154825,139.72058,39.10978,39.19987,139.663417,139.777743
1_3,3,1,39.154825,139.834906,39.10978,39.19987,139.777743,139.892069
2_3,3,2,39.154825,139.949232,39.10978,39.19987,139.892069,140.006395
3_3,3,3,39.154825,140.063558,39.10978,39.19987,140.006395,140.120721
4_3,3,4,39.154825,140.177884,39.10978,39.19987,140.120721,140.235047
5_3,3,5,39.154825,140.29221,39.10978,39.19987,140.235047,140.349373
6_3,3,6,39.154825,140.406536,39.10978,39.19987,140.349373,140.463699
7_3,3,7,39.154825,140.520862,39.10978,39.19987,140.463699,140.578025
8_3,3,8,39.154825,140.635188,39.10978,39.19987,140.578025,140.692351
9_3,3,9,39.154825,140.749514,39.10978,39.19987,140.692351,140.806677
10_3,3,10,39.154825,140.86384,39.10978,39.19987,140.806677,140.921003
11_3,3,11,39.154825,140.978166,39.10978,39.19987,140.921003,141.035329
12_3,3,12,39.154825,141.092492,39.10978,39.19987,141.035329,141.149655
0_4,4,0,39.244915,139.72058,39.19987,39.28996,139.663417,139.777743
1_4,4,1,39.244915,139.834906,39.19987,39.28996,139.777743,139.892069
2_4,4,2,39.244915,139.949232,39.19987,39.28996,139.892069,140.006395
3_4,4,3,39.244915,140.063558,39.19987,39.28996,140.006395,140.120721
4_4,4,4,39.244915,140.177884,39.19987,39.28996,140.120721,140.235047
5_4,4,5,39.244915,140.29221,39.19987,39.28996,140.235047,140.349373
