Date,0_0,0_1,0_2,0_3,0_4,0_5,0_6,0_7,0_8,0_9,0_10,0_11,0_12,0_13,0_14,0_15,1_0,1_1,1_2,1_3,1_4,1_5,1_6,1_7,1_8,1_9,1_10,1_11,1_12,1_13,1_14,1_15,2_0,2_1,2_2,2_3,2_4,2_5,2_6,2_7,2_8,2_9,2_10,2_11,2_12,2_13,2_14,2_15,3_0,3_1,3_2,3_3,3_4,3_5,3_6,3_7,3_8,3_9,3_10,3_11,3_12,3_13,3_14,3_15,4_0,4_1,4_2,4_3,4_4,4_5,4_6,4_7,4_8,4_9,4_10,4_11,4_12,4_13,4_14,4_15,5_0,5_1,5_2,5_3,5_4,5_5,5_6,5_7,5_8,5_9,5_10,5_11,5_12,5_13,5_14,5_15,6_0,6_1,6_2,6_3,6_4,6_5,6_6,6_7,6_8,6_9,6_10,6_11,6_12,6_13,6_14,6_15,7_0,7_1,7_2,7_3,7_4,7_5,7_6,7_7,7_8,7_9,7_10,7_11,7_12,7_13,7_14,7_15,8_0,8_1,8_2,8_3,8_4,8_5,8_6,8_7,8_8,8_9,8_10,8_11,8_12,8_13,8_14,8_15
2025/1/1,0.01063631,0.01063693,0.01063693,0.01063693,0.01063693,0.01063693,0.01063693,0.01063443,0.01065384,0.01094738,0.01062089,0.01062944,0.01062944,0.01063397,0.01063592,0.01063592,0.01063544,0.01063693,0.01062839,0.01062839,0.01063442,0.01064026,0.01064026,0.01063293,0.01072481,0.01062571,0.18573032,0.01062276,0.01062944,0.01063397,0.01063592,0.01063592,0.01063544,0.01063442,0.01069598,0.01066311,0.01063877,0.01064580,0.01064878,0.01064294,0.01064079,0.02335463,0.02523005,0.01069408,0.01886464,0.01063263,0.01064620,0.01063592,0.01064246,0.01071504,0.01069457,0.01143153,0.01066563,0.01065647,0.01065946,0.01064380,0.01064391,0.01063106,0.02522734,0.01067549,0.01107987,0.01165625,0.01063480,0.01064206,0.01071267,0.01136313,0.01094472,0.01151628,0.02049653,0.01066248,0.01064407,0.01088325,0.01065999,0.01066191,0.01066893,0.01066734,0.01062870,0.01128358,0.01073616,0.01064256,0.01070779,0.36128381,0.01078097,0.12034128,0.01071521,0.01064682,0.01068221,0.01067970,0.01064583,0.01065078,0.01063849,0.01063920,0.01064690,0.01065532,0.01063696,0.01063549,0.01065741,0.01064278,0.01090710,0.01065876,0.01935176,0.01063634,0.01063598,0.01067826,0.01068780,0.01083291,0.02470804,0.01065593,0.01086239,0.01063443,0.01063951,0.01063805,0.01063106,0.01063106,0.01063106,0.01077014,0.01067474,0.02347420,0.01113442,0.01066176,0.01066944,0.02373883,0.01064206,0.01071427,0.01065153,0.01066044,0.01064054,0.01063907,0.01063307,0.01063307,0.01063307,0.01063307,0.01063307,0.01063860,0.01068257,0.01116105,0.01068776,0.01091407,0.01073843,0.01074033,0.01064754,0.01064619,0.01064255,0.01063907
2025/1/2,0.01063631,0.01063693,0.01063693,0.01063693,0.01063693,0.01063693,0.01063693,0.01063443,0.01065384,0.01094738,0.01062089,0.01062944,0.01062944,0.01063397,0.01063592,0.01063592,0.01063544,0.01063693,0.01062839,0.01062839,0.01063442,0.01064026,0.01064026,0.01063293,0.01072481,0.01062571,0.18573032,0.01062276,0.01062944,0.01063397,0.01063592,0.01063592,0.01063544,0.01063442,0.01069598,0.01066311,0.01063877,0.01064580,0.01064878,0.01064294,0.01064079,0.02335463,0.02523005,0.01069408,0.01886464,0.01063263,0.01064620,0.01063592,0.01064246,0.01071504,0.01069457,0.01143153,0.01066563,0.01065647,0.01065946,0.01064380,0.01064391,0.01063106,0.02522734,0.01067549,0.01107987,0.01165625,0.01063480,0.01064206,0.01071267,0.01136313,0.01094472,0.01151628,0.02049653,0.01066248,0.01064407,0.01088325,0.01065999,0.01066191,0.01066893,0.01066734,0.01062870,0.01128358,0.01073616,0.01064256,0.01070779,0.36128381,0.01078097,0.12034128,0.01071521,0.01064682,0.01068221,0.01067970,0.01064583,0.01065078,0.01063849,0.01063920,0.01064690,0.01065532,0.01063696,0.01063549,0.01065741,0.01064278,0.01090710,0.01065876,0.01935176,0.01063634,0.01063598,0.01067826,0.01068780,0.01083291,0.02470804,0.01065593,0.01086239,0.01063443,0.01063951,0.01063805,0.01063106,0.01063106,0.01063106,0.01077014,0.01067474,0.02347420,0.01113442,0.01066176,0.01066944,0.02373883,0.01064206,0.01071427,0.01065153,0.01066044,0.01064054,0.01063907,0.01063307,0.01063307,0.01063307,0.01063307,0.01063307,0.01063860,0.01068257,0.01116105,0.01068776,0.01091407,0.01073843,0.01074033,0.01064754,0.01064619,0.01064255,0.01063907
2025/1/3,0.01063631,0.01063693,0.01063693,0.01063693,0.01063693,0.01063693,0.01063693,0.01063443,0.01065384,0.01094738,0.01062089,0.01062944,0.01062944,0.01063397,0.01063592,0.01063592,0.01063544,0.01063693,0.01062839,0.01062839,0.01063442,0.01064026,0.01064026,0.01063293,0.01072481,0.01062571,0.18573032,0.01062276,0.01062944,0.01063397,0.01063592,0.01063592,0.01063544,0.01063442,0.01069598,0.01066311,0.01063877,0.01064580,0.01064878,0.01064294,0.01064079,0.02335463,0.02523005,0.01069408,0.01886464,0.01063263,0.01064620,0.01063592,0.01064246,0.01071504,0.01069457,0.01143153,0.01066563,0.01065647,0.01065946,0.01064380,0.01064391,0.01063106,0.02522734,0.01067549,0.01107987,0.01165625,0.01063480,0.01064206,0.01071267,0.01136313,0.01094472,0.01151628,0.02049653,0.01066248,0.01064407,0.01088325,0.01065999,0.01066191,0.01066893,0.01066734,0.01062870,0.01128358,0.01073616,0.01064256,0.01070779,0.36128381,0.01078097,0.12034128,0.01071521,0.01064682,0.01068221,0.01067970,0.01064583,0.01065078,0.01063849,0.01063920,0.01064690,0.01065532,0.01063696,0.01063549,0.01065741,0.01064278,0.01090710,0.01065876,0.01935176,0.01063634,0.01063598,0.01067826,0.01068780,0.01083291,0.02470804,0.01065593,0.01086239,0.01063443,0.01063951,0.01063805,0.01063106,0.01063106,0.01063106,0.01077014,0.01067474,0.02347420,0.01113442,0.01066176,0.01066944,0.02373883,0.01064206,0.01071427,0.01065153,0.01066044,0.01064054,0.01063907,0.01063307,0.01063307,0.01063307,0.01063307,0.01063307,0.01063860,0.01068257,0.01116105,0.01068776,0.01091407,0.01073843,0.01074033,0.01064754,0.01064619,0.01064255,0.01063907
2025/1/4,0.01063631,0.01063693,0.01063693,0.01063693,0.01063693,0.01063693,0.01063693,0.01063443,0.01065384,0.01094738,0.01062089,0.01062944,0.01062944,0.01063397,0.01063592,0.01063592,0.01063544,0.01063693,0.01062839,0.01062839,0.01063442,0.01064026,0.01064026,0.01063293,0.01072481,0.01062571,0.18573032,0.01062276,0.01062944,0.01063397,0.01063592,0.01063592,0.01063544,0.01063442,0.01069598,0.01066311,0.01063877,0.01064580,0.01064878,0.01064294,0.01064079,0.02335463,0.02523005,0.01069408,0.01886464,0.01063263,0.01064620,0.01063592,0.01064246,0.01071504,0.01069457,0.01143153,0.01066563,0.01065647,0.01065946,0.01064380,0.01064391,0.01063106,0.02522734,0.01067549,0.01107987,0.01165625,0.01063480,0.01064206,0.01071267,0.01136313,0.01094472,0.01151628,0.02049653,0.01066248,0.01064407,0.01088325,0.01065999,0.01066191,0.01066893,0.01066734,0.01062870,0.01128358,0.01073616,0.01064256,0.01070779,0.36128381,0.01078097,0.12034128,0.01071521,0.01064682,0.01068221,0.01067970,0.01064583,0.01065078,0.01063849,0.01063920,0.01064690,0.01065532,0.01063696,0.01063549,0.01065741,0.01064278,0.01090710,0.01065876,0.01935176,0.01063634,0.01063598,0.01067826,0.01068780,0.01083291,0.02470804,0.01065593,0.01086239,0.01063443,0.01063951,0.01063805,0.01063106,0.01063106,0.01063106,0.01077014,0.01067474,0.02347420,0.01113442,0.01066176,0.01066944,0.02373883,0.01064206,0.01071427,0.01065153,0.01066044,0.01064054,0.01063907,0.01063307,0.01063307,0.01063307,0.01063307,0.01063307,0.01063860,0.01068257,0.01116105,0.01068776,0.01091407,0.01073843,0.01074033,0.01064754,0.01064619,0.01064255,0.01063907
2025/1/5,0.01063631,0.01063693,0.01063693,0.01063693,0.01063693,0.01063693,0.01063693,0.01063443,0.01065384,0.01094738,0.01062089,0.01062944,0.01062944,0.01063397,0.01063592,0.01063592,0.01063544,0.01063693,0.01062839,0.01062839,0.01063442,0.01064026,0.01064026,0.01063293,0.01072481,0.01062571,0.18573032,0.01062276,0.01062944,0.01063397,0.01063592,0.01063592,0.01063544,0.01063442,0.01069598,0.01066311,0.01063877,0.01064580,0.01064878,0.01064294,0.01064079,0.02335463,0.02523005,0.01069408,0.01886464,0.01063263,0.01064620,0.01063592,0.01064246,0.01071504,0.01069457,0.01143153,0.01066563,0.01065647,0.01065946,0.01064380,0.01064391,0.01063106,0.02522734,0.01067549,0.01107987,0.01165625,0.01063480,0.01064206,0.01071267,0.01136313,0.01094472,0.01151628,0.02049653,0.01066248,0.01064407,0.01088325,0.01065999,0.01066191,0.01066893,0.01066734,0.01062870,0.01128358,0.01073616,0.01064256,0.01070779,0.36128381,0.01078097,0.12034128,0.01071521,0.01064682,0.01068221,0.01067970,0.01064583,0.01065078,0.01063849,0.01063920,0.01064690,0.01065532,0.01063696,0.01063549,0.01065741,0.01064278,0.01090710,0.01065876,0.01935176,0.01063634,0.01063598,0.01067826,0.01068780,0.01083291,0.02470804,0.01065593,0.01086239,0.01063443,0.01063951,0.01063805,0.01063106,0.01063106,0.01063106,0.01077014,0.01067474,0.02347420,0.01113442,0.01066176,0.01066944,0.02373883,0.01064206,0.01071427,0.01065153,0.01066044,0.01064054,0.01063907,0.01063307,0.01063307,0.01063307,0.01063307,0.01063307,0.01063860,0.01068257,0.01116105,0.01068776,0.01091407,0.01073843,0.01074033,0.01064754,0.01064619,0.01064255,0.01063907
2025/1/6,0.01063631,0.01063693,0.01063693,0.01063693,0.01063693,0.01063693,0.01063693,0.01063443,0.01065384,0.01094738,0.01062089,0.01062944,0.01062944,0.01063397,0.01063592,0.01063592,0.01063544,0.01063693,0.01062839,0.01062839,0.01063442,0.01064026,0.01064026,0.01063293,0.01072481,0.01062571,0.18573032,0.01062276,0.01062944,0.01063397,0.01063592,0.01063592,0.01063544,0.01063442,0.01069598,0.01066311,0.01063877,0.01064580,0.01064878,0.01064294,0.01064079,0.02335463,0.02523005,0.01069408,0.01886464,0.01063263,0.01064620,0.01063592,0.01064246,0.01071504,0.01069457,0.01143153,0.01066563,0.01065647,0.01065946,0.01064380,0.01064391,0.01063106,0.02522734,0.01067549,0.01107987,0.01165625,0.01063480,0.01064206,0.01071267,0.01136313,0.01094472,0.01151628,0.02049653,0.01066248,0.01064407,0.01088325,0.01065999,0.01066191,0.01066893,0.01066734,0.01062870,0.01128358,0.01073616,0.01064256,0.01070779,0.36128381,0.01078097,0.12034128,0.01071521,0.01064682,0.01068221,0.01067970,0.01064583,0.01065078,0.01063849,0.01063920,0.01064690,0.01065532,0.01063696,0.01063549,0.01065741,0.01064278,0.01090710,0.01065876,0.01935176,0.01063634,0.01063598,0.01067826,0.01068780,0.01083291,0.02470804,0.01065593,0.01086239,0.01063443,0.01063951,0.01063805,0.01063106,0.01063106,0.01063106,0.01077014,0.01067474,0.02347420,0.01113442,0.01066176,0.01066944,0.02373883,0.01064206,0.01071427,0.01065153,0.01066044,0.01064054,0.01063907,0.01063307,0.01063307,0.01063307,0.01063307,0.01063307,0.01063860,0.01068257,0.01116105,0.01068776,0.01091407,0.01073843,0.01074033,0.01064754,0.01064619,0.01064255,0.01063907
2025/1/7,0.01063631,0.01063693,0.01063693,0.01063693,0.01063693,0.01063693,0.01063693,0.01063443,0.01065384,0.01094738,0.01062089,0.01062944,0.01062944,0.01063397,0.01063592,0.01063592,0.01063544,0.01063693,0.01062839,0.01062839,0.01063442,0.01064026,0.01064026,0.01063293,0.01072481,0.01062571,0.18573032,0.01062276,0.01062944,0.01063397,0.01063592,0.01063592,0.01063544,0.01063442,0.01069598,0.01066311,0.01063877,0.01064580,0.01064878,0.01064294,0.01064079,0.02335463,0.02523005,0.01069408,0.01886464,0.01063263,0.01064620,0.01063592,0.01064246,0.01071504,0.01069457,0.01143153,0.01066563,0.01065647,0.01065946,0.01064380,0.01064391,0.01063106,0.02522734,0.01067549,0.01107987,0.01165625,0.01063480,0.01064206,0.01071267,0.01136313,0.01094472,0.01151628,0.02049653,0.01066248,0.01064407,0.01088325,0.01065999,0.01066191,0.01066893,0.01066734,0.01062870,0.01128358,0.01073616,0.01064256,0.01070779,0.36128381,0.01078097,0.12034128,0.01071521,0.01064682,0.01068221,0.01067970,0.01064583,0.01065078,0.01063849,0.01063920,0.01064690,0.01065532,0.01063696,0.01063549,0.01065741,0.01064278,0.01090710,0.01065876,0.01935176,0.01063634,0.01063598,0.01067826,0.01068780,0.01083291,0.02470804,0.01065593,0.01086239,0.01063443,0.01063951,0.01063805,0.01063106,0.01063106,0.01063106,0.01077014,0.01067474,0.02347420,0.01113442,0.01066176,0.01066944,0.02373883,0.01064206,0.01071427,0.01065153,0.01066044,0.01064054,0.01063907,0.01063307,0.01063307,0.01063307,0.01063307,0.01063307,0.01063860,0.01068257,0.01116105,0.01068776,0.01091407,0.01073843,0.01074033,0.01064754,0.01064619,0.01064255,0.01063907
2025/1/8,0.01063631,0.01063693,0.01063693,0.01063693,0.01063693,0.01063693,0.01063693,0.01063443,0.01065384,0.01094738,0.01062089,0.01062944,0.01062944,0.01063397,0.01063592,0.01063592,0.01063544,0.01063693,0.01062839,0.01062839,0.01063442,0.01064026,0.01064026,0.01063293,0.01072481,0.01062571,0.18573032,0.01062276,0.01062944,0.01063397,0.01063592,0.01063592,0.01063544,0.01063442,0.01069598,0.01066311,0.01063877,0.01064580,0.01064878,0.01064294,0.01064079,0.02335463,0.02523005,0.01069408,0.01886464,0.01063263,0.01064620,0.01063592,0.01064246,0.01071504,0.01069457,0.01143153,0.01066563,0.01065647,0.01065946,0.01064380,0.01064391,0.01063106,0.02522734,0.01067549,0.01107987,0.01165625,0.01063480,0.01064206,0.01071267,0.01136313,0.01094472,0.01151628,0.02049653,0.01066248,0.01064407,0.01088325,0.01065999,0.01066191,0.01066893,0.01066734,0.01062870,0.01128358,0.01073616,0.01064256,0.01070779,0.36128381,0.01078097,0.12034128,0.01071521,0.01064682,0.01068221,0.01067970,0.01064583,0.01065078,0.01063849,0.01063920,0.01064690,0.01065532,0.01063696,0.01063549,0.01065741,0.01064278,0.01090710,0.01065876,0.01935176,0.01063634,0.01063598,0.01067826,0.01068780,0.01083291,0.02470804,0.01065593,0.01086239,0.01063443,0.01063951,0.01063805,0.01063106,0.01063106,0.01063106,0.01077014,0.01067474,0.02347420,0.01113442,0.01066176,0.01066944,0.02373883,0.01064206,0.01071427,0.01065153,0.01066044,0.01064054,0.01063907,0.01063307,0.01063307,0.01063307,0.01063307,0.01063307,0.01063860,0.01068257,0.01116105,0.01068776,0.01091407,0.01073843,0.01074033,0.01064754,0.01064619,0.01064255,0.01063907
2025/1/9,0.01063631,0.01063693,0.01063693,0.01063693,0.01063693,0.01063693,0.01063693,0.01063443,0.01065384,0.01094738,0.01062089,0.01062944,0.01062944,0.01063397,0.01063592,0.01063592,0.01063544,0.01063693,0.01062839,0.01062839,0.01063442,0.01064026,0.01064026,0.01063293,0.01072481,0.01062571,0.18573032,0.01062276,0.01062944,0.01063397,0.01063592,0.01063592,0.01063544,0.01063442,0.01069598,0.01066311,0.01063877,0.01064580,0.01064878,0.01064294,0.01064079,0.02335463,0.02523005,0.01069408,0.01886464,0.01063263,0.01064620,0.01063592,0.01064246,0.01071504,0.01069457,0.01143153,0.01066563,0.01065647,0.01065946,0.01064380,0.01064391,0.01063106,0.02522734,0.01067549,0.01107987,0.01165625,0.01063480,0.01064206,0.01071267,0.01136313,0.01094472,0.01151628,0.02049653,0.01066248,0.01064407,0.01088325,0.01065999,0.01066191,0.01066893,0.01066734,0.01062870,0.01128358,0.01073616,0.01064256,0.01070779,0.36128381,0.01078097,0.12034128,0.01071521,0.01064682,0.01068221,0.01067970,0.01064583,0.01065078,0.01063849,0.01063920,0.01064690,0.01065532,0.01063696,0.01063549,0.01065741,0.01064278,0.01090710,0.01065876,0.01935176,0.01063634,0.01063598,0.01067826,0.01068780,0.01083291,0.02470804,0.01065593,0.01086239,0.01063443,0.01063951,0.01063805,0.01063106,0.01063106,0.01063106,0.01077014,0.01067474,0.02347420,0.01113442,0.01066176,0.01066944,0.02373883,0.01064206,0.01071427,0.01065153,0.01066044,0.01064054,0.01063907,0.01063307,0.01063307,0.01063307,0.01063307,0.01063307,0.01063860,0.01068257,0.01116105,0.01068776,0.01091407,0.01073843,0.01074033,0.01064754,0.01064619,0.01064255,0.01063907
2025/1/10,0.01063631,0.01063693,0.01063693,0.01063693,0.01063693,0.01063693,0.01063693,0.01063443,0.01065384,0.01094738,0.01062089,0.01062944,0.01062944,0.01063397,0.01063592,0.01063592,0.01063544,0.01063693,0.01062839,0.01062839,0.01063442,0.01064026,0.01064026,0.01063293,0.01072481,0.01062571,0.18573032,0.01062276,0.01062944,0.01063397,0.01063592,0.01063592,0.01063544,0.01063442,0.01069598,0.01066311,0.01063877,0.01064580,0.01064878,0.01064294,0.01064079,0.02335463,0.02523005,0.01069408,0.01886464,0.01063263,0.01064620,0.01063592,0.01064246,0.01071504,0.01069457,0.01143153,0.01066563,0.01065647,0.01065946,0.01064380,0.01064391,0.01063106,0.02522734,0.01067549,0.01107987,0.01165625,0.01063480,0.01064206,0.01071267,0.01136313,0.01094472,0.01151628,0.02049653,0.01066248,0.01064407,0.01088325,0.01065999,0.01066191,0.01066893,0.01066734,0.01062870,0.01128358,0.01073616,0.01064256,0.01070779,0.36128381,0.01078097,0.12034128,0.01071521,0.01064682,0.01068221,0.01067970,0.01064583,0.01065078,0.01063849,0.01063920,0.01064690,0.01065532,0.01063696,0.01063549,0.01065741,0.01064278,0.01090710,0.01065876,0.01935176,0.01063634,0.01063598,0.01067826,0.01068780,0.01083291,0.02470804,0.01065593,0.01086239,0.01063443,0.01063951,0.01063805,0.01063106,0.01063106,0.01063106,0.01077014,0.01067474,0.02347420,0.01113442,0.01066176,0.01066944,0.02373883,0.01064206,0.01071427,0.01065153,0.01066044,0.01064054,0.01063907,0.01063307,0.01063307,0.01063307,0.01063307,0.01063307,0.01063860,0.01068257,0.01116105,0.01068776,0.01091407,0.01073843,0.01074033,0.01064754,0.01064619,0.01064255,0.01063907
