Date,0_0,1_0,2_0,3_0,4_0,5_0,6_0,7_0,8_0,0_1,1_1,2_1,3_1,4_1,5_1,6_1,7_1,8_1,0_2,1_2,2_2,3_2,4_2,5_2,6_2,7_2,8_2,0_3,1_3,2_3,3_3,4_3,5_3,6_3,7_3,8_3,0_4,1_4,2_4,3_4,4_4,5_4,6_4,7_4,8_4,0_5,1_5,2_5,3_5,4_5,5_5,6_5,7_5,8_5,0_6,1_6,2_6,3_6,4_6,5_6,6_6,7_6,8_6,0_7,1_7,2_7,3_7,4_7,5_7,6_7,7_7,8_7,0_8,1_8,2_8,3_8,4_8,5_8,6_8,7_8,8_8,0_9,1_9,2_9,3_9,4_9,5_9,6_9,7_9,8_9,0_10,1_10,2_10,3_10,4_10,5_10,6_10,7_10,8_10,0_11,1_11,2_11,3_11,4_11,5_11,6_11,7_11,8_11,0_12,1_12,2_12,3_12,4_12,5_12,6_12,7_12,8_12,0_13,1_13,2_13,3_13,4_13,5_13,6_13,7_13,8_13,0_14,1_14,2_14,3_14,4_14,5_14,6_14,7_14,8_14,0_15,1_15,2_15,3_15,4_15,5_15,6_15,7_15,8_15
2025/1/1,0.00000000,0.00000000,0.00000000,0.00000000,0.01017320,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00554150,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01804779,0.00151496,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00021047,0.00000000,0.00000000,0.04430532,0.01041397,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00130489,0.01528102,0.01129174,0.00661606,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00395885,0.02124804,0.00142712,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00421722,0.00000000,0.00000000,0.01036452,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00269550,0.01275143,0.00392176,0.00307137,0.00000000,0.00072673,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00494785,0.00000000,0.00000000,0.00000000,0.01669089,0.00014880,0.00000000,0.00000000,0.00023491,0.05183705,0.00188787,0.00000000,0.05438558,0.01169428,0.02186525,0.00009414,0.00345984,0.00139768,0.00000000,0.00680107,0.00000000,0.00000000,0.00322440,0.00148865,0.01012068,0.00128006,0.00520961,0.00000000,0.00000000,0.00000000,0.00000000,0.01563749,0.00334243,0.00034222,0.00000000,0.00227506,0.01774940,0.00000000,0.00000000,0.00000000,0.00000000,0.00089192,0.00000000,0.00003342,0.00000000,0.00236101,0.00000000,0.00000000,0.00000000,0.00090793,0.01364442,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2025/1/2,0.00000000,0.00000000,0.00000000,0.00000000,0.00260611,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00113104,0.00000000,0.01406130,0.00000000,0.00000000,0.00000000,0.00000000,0.00204841,0.00593148,0.00950870,0.00000000,0.01332522,0.00000000,0.00000000,0.00000000,0.00000000,0.00279468,0.00000000,0.00156700,0.02822939,0.02704658,0.00304568,0.00000000,0.00000000,0.00000000,0.00082575,0.00539290,0.00000000,0.01014508,0.02212213,0.02672330,0.01440596,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01904713,0.02002373,0.00342248,0.02822188,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00002388,0.00502338,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00076562,0.01240242,0.00550564,0.00568554,0.00647786,0.00161869,0.00663801,0.00000000,0.00190825,0.00000000,0.00000000,0.00000000,0.00000000,0.00379696,0.00000000,0.00846307,0.00000000,0.01698228,0.00269820,0.00000000,0.00000000,0.00721836,0.07389338,0.01062351,0.00000000,0.03743610,0.01409927,0.01595777,0.00035330,0.03055819,0.01077822,0.00000000,0.00000000,0.00000000,0.00575094,0.00249965,0.00000000,0.00072769,0.00109831,0.00351455,0.00000000,0.00006330,0.00000000,0.00000000,0.01951201,0.01349705,0.00000000,0.00000000,0.00691202,0.00730203,0.00000000,0.00000000,0.00000000,0.00000000,0.02473808,0.00263931,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00565137,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2025/1/3,0.00000000,0.00000000,0.00000000,0.00000000,0.00263452,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01604003,0.02404985,0.00000000,0.00000000,0.00000000,0.00000000,0.00744068,0.00234551,0.00860285,0.00000000,0.01720744,0.00000000,0.00000000,0.00000000,0.00000000,0.01432068,0.00227347,0.00692329,0.01222201,0.00000000,0.00061168,0.00007684,0.00000000,0.00000000,0.00588305,0.00466982,0.00439657,0.02131335,0.01684383,0.02214897,0.00282230,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00708564,0.00634055,0.00125967,0.00573704,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00019390,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00122164,0.00136676,0.00000000,0.00633417,0.00111694,0.00150350,0.00627940,0.00000000,0.02846945,0.00000000,0.00000000,0.00000000,0.00000000,0.00716399,0.00293935,0.00779785,0.00042662,0.05030347,0.01422521,0.00389218,0.00000000,0.00302863,0.03264351,0.00571874,0.00000000,0.03189923,0.02208615,0.01847227,0.00010826,0.01740783,0.03094589,0.00258681,0.00000000,0.00000000,0.02443479,0.00291122,0.00570658,0.00051920,0.00000000,0.00123180,0.00000000,0.00236541,0.00000000,0.00000000,0.03746462,0.00000000,0.00000000,0.00000000,0.01315401,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00685384,0.01170926,0.00000000,0.00000000,0.00099521,0.00000000,0.00000000,0.00000000,0.00000000,0.00110370,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2025/1/4,0.00000000,0.00000000,0.00000000,0.00000000,0.00904653,0.00000000,0.00515649,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01678750,0.03169930,0.00000000,0.00000000,0.00000000,0.00000000,0.00208050,0.00539357,0.03005323,0.00000000,0.01854322,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01358318,0.00237763,0.00856092,0.02159943,0.00966400,0.00474387,0.00000000,0.00000000,0.00142837,0.00103963,0.00010965,0.01365166,0.01261826,0.01845072,0.00899791,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00655325,0.00150597,0.00013541,0.00468787,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00305094,0.00833117,0.01146555,0.00000000,0.00016763,0.00000000,0.00000000,0.00000000,0.00180143,0.00000000,0.00000000,0.01939507,0.00353874,0.00031540,0.00049114,0.00000000,0.00400277,0.00000000,0.00000000,0.00000000,0.00760430,0.00003816,0.01072982,0.00058834,0.00550671,0.05359570,0.00261737,0.00000000,0.00000000,0.00194082,0.02621179,0.00062917,0.00240642,0.05985721,0.00471407,0.02350484,0.00000000,0.00431497,0.03278571,0.00000000,0.00000000,0.00000000,0.01576656,0.00257855,0.00499818,0.00170717,0.00000000,0.00234768,0.00000000,0.00000000,0.00000000,0.00000000,0.02313225,0.00230194,0.00790529,0.00000000,0.00394038,0.00000000,0.00000000,0.00000000,0.00000000,0.00020929,0.00000000,0.01258441,0.00000000,0.00000000,0.00706962,0.00000000,0.00000000,0.00000000,0.00248391,0.00108448,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2025/1/5,0.00000000,0.00000000,0.00002198,0.00000000,0.00556249,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00794598,0.00000000,0.04961762,0.00000000,0.00000000,0.00000000,0.00000000,0.00038815,0.00391647,0.01226631,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00501603,0.00000000,0.01372622,0.01233376,0.00000000,0.00000000,0.00000000,0.00000000,0.00082831,0.00007345,0.00000000,0.01887714,0.00092081,0.01763250,0.01436682,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00535109,0.02949173,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00986814,0.00895262,0.00539468,0.00285125,0.00068300,0.00000000,0.00000000,0.00000000,0.00248325,0.01224169,0.00553548,0.00825554,0.00527952,0.00049203,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00021133,0.00272740,0.00000000,0.00000000,0.03831797,0.00000000,0.00000000,0.00000000,0.00165543,0.03563043,0.00102648,0.01686487,0.04015534,0.02342956,0.01555320,0.00000000,0.00073554,0.01400774,0.00296485,0.00174815,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00413631,0.00627395,0.00026515,0.00000000,0.00000000,0.00000000,0.01436196,0.01186823,0.00000000,0.00165834,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01540977,0.01335407,0.00238271,0.00169547,0.00250044,0.00000000,0.00000000,0.00000000,0.00000000,0.00419809,0.00544872,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2025/1/6,0.00000000,0.00000000,0.00017321,0.00000000,0.00000000,0.00110239,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00079379,0.00000000,0.00924131,0.03271116,0.00000000,0.00000000,0.00000000,0.00000000,0.00396023,0.00175827,0.00141458,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00385142,0.00098515,0.00424644,0.00096822,0.00586691,0.00000000,0.00237632,0.00000000,0.00000000,0.00060456,0.00000000,0.00000000,0.01893272,0.00000000,0.02705118,0.00191936,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00579309,0.02178910,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00183942,0.00413813,0.00000000,0.01048929,0.00044040,0.00000000,0.00000000,0.00000000,0.00250406,0.01908488,0.00846140,0.00189227,0.00469565,0.00385256,0.00170532,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00348481,0.00000000,0.00000000,0.00000000,0.04073198,0.00138517,0.00000000,0.01198359,0.00639152,0.02418084,0.00773756,0.00444018,0.03989949,0.04515430,0.02397387,0.00000000,0.00563292,0.00660683,0.02129512,0.00207914,0.00000000,0.00000000,0.00000000,0.00608850,0.00000000,0.00000000,0.00880562,0.00046973,0.00075115,0.00000000,0.00000000,0.00734083,0.00494404,0.00000000,0.00173724,0.00785224,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00603524,0.00494308,0.00000000,0.00000000,0.00504034,0.00000000,0.00000000,0.00000000,0.00016493,0.00330439,0.00096496,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2025/1/7,0.00000000,0.00000000,0.00033468,0.00000000,0.00799871,0.00570034,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00663588,0.00523467,0.00787542,0.01909225,0.00000000,0.00000000,0.00000000,0.00000000,0.00556346,0.01127000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00504823,0.00000000,0.00000000,0.01886601,0.01434492,0.00000000,0.01795431,0.00000000,0.00000000,0.00015290,0.00000000,0.00000000,0.01623031,0.00121372,0.00526286,0.01058336,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00804830,0.00000000,0.00000000,0.00264678,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00027663,0.00000000,0.00000000,0.00000000,0.00714881,0.01179554,0.00154252,0.00539271,0.00776839,0.00379480,0.00836956,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00091736,0.00358137,0.00000000,0.01628030,0.00045982,0.03038108,0.00000000,0.00000000,0.00110251,0.00109738,0.03035796,0.00874301,0.00000000,0.02450169,0.05592330,0.05259748,0.00000000,0.00200354,0.00145967,0.00433484,0.00177522,0.00000000,0.00000000,0.00000000,0.00674509,0.00601475,0.00000000,0.00052116,0.00318885,0.00074153,0.00000000,0.00000000,0.00478314,0.00636107,0.00000000,0.00398609,0.01072387,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00946225,0.00000000,0.00000000,0.00252945,0.01683765,0.00000000,0.00000000,0.00000000,0.00133270,0.00186058,0.00189445,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2025/1/8,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00009665,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00178987,0.03729395,0.00000000,0.00000000,0.00000000,0.00000000,0.00840022,0.00902593,0.00000000,0.00210297,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00569821,0.00000000,0.00580855,0.00788883,0.01957697,0.00000000,0.00366130,0.00000000,0.00000000,0.00000000,0.00343875,0.00326276,0.00885452,0.00143259,0.00807274,0.00925572,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00263398,0.00000000,0.00000000,0.00791680,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00696036,0.00046090,0.00000000,0.00000000,0.00000000,0.00401679,0.00000000,0.00000000,0.00000000,0.00078698,0.00678711,0.00228002,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00792833,0.01575376,0.00000000,0.00380518,0.02311270,0.01218758,0.00543582,0.00006805,0.00000000,0.00586294,0.03058793,0.02191150,0.00000000,0.04995368,0.05398958,0.02825803,0.00000000,0.00101673,0.01242909,0.00891593,0.00156491,0.00000000,0.00000000,0.00000000,0.01424384,0.00719430,0.00716009,0.00230030,0.00481404,0.00000000,0.00000000,0.00000000,0.00846335,0.01264834,0.00000000,0.00000000,0.00036507,0.00000000,0.00000000,0.00000000,0.00000000,0.00421179,0.01094257,0.00122557,0.00000000,0.01536932,0.00450354,0.00000000,0.00000000,0.00000000,0.00178468,0.00000000,0.00786760,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2025/1/9,0.00000000,0.00000000,0.00019462,0.00000000,0.00000000,0.00043251,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00114423,0.00551672,0.00222231,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00509909,0.00640801,0.00425359,0.00838140,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00414679,0.00970892,0.00000000,0.03333420,0.00362743,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01133015,0.00872260,0.00362120,0.01033607,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00168803,0.00000000,0.00000000,0.00000000,0.00038230,0.00000000,0.00000000,0.00000000,0.00231393,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00241523,0.00000000,0.00005965,0.00000000,0.00000000,0.00000000,0.00747642,0.00551424,0.00000000,0.00000000,0.00975040,0.00701252,0.00000000,0.00050800,0.00000000,0.00047853,0.05149243,0.01503705,0.00000000,0.03622954,0.05169932,0.01338400,0.00412571,0.00000000,0.00805661,0.01532962,0.00405477,0.00000000,0.00721239,0.00000000,0.02715061,0.00156261,0.00168988,0.00000000,0.00152285,0.00000000,0.00000000,0.00000000,0.01689491,0.00956039,0.00273690,0.00000000,0.01292223,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00277841,0.00195306,0.00000000,0.00000000,0.00000000,0.00184648,0.00000000,0.00397923,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2025/1/10,0.00000000,0.00000000,0.00008679,0.00000000,0.00046819,0.00035844,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01433529,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00458739,0.00000000,0.00117304,0.00043894,0.00000000,0.00000000,0.00000000,0.00000000,0.00648127,0.00132219,0.00000000,0.01764612,0.03406215,0.00141020,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00490867,0.01154260,0.00027069,0.03739924,0.01511002,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00073750,0.00466026,0.01094662,0.00673945,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00489573,0.00028422,0.00000000,0.00000000,0.00000000,0.00228906,0.00114715,0.00000000,0.00155519,0.00415071,0.00000000,0.00040128,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01742106,0.02012895,0.00000000,0.00000000,0.00000000,0.00372457,0.06685083,0.00273660,0.00000000,0.05339443,0.07445623,0.02686522,0.00000000,0.00195288,0.01329098,0.00108388,0.00063539,0.00000000,0.00000000,0.00000000,0.01145779,0.00674376,0.00011860,0.00956027,0.00000000,0.00374445,0.00000000,0.00000000,0.02689463,0.00795421,0.00282703,0.00000000,0.00208289,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00095904,0.00000000,0.00002838,0.00039454,0.00000000,0.00000000,0.00000000,0.00090275,0.00000000,0.00787229,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
