Grid_ID,Grid_Row,Grid_Col,Center_Latitude,Center_Longitude,Min_Latitude,Max_Latitude,Min_Longitude,Max_Longitude
0_0,0,0,37.803475,139.606254,37.75843,37.84852,139.549091,139.663417
1_0,0,1,37.803475,139.72058,37.75843,37.84852,139.663417,139.777743
2_0,0,2,37.803475,139.834906,37.75843,37.84852,139.777743,139.892069
3_0,0,3,37.803475,139.949232,37.75843,37.84852,139.892069,140.006395
4_0,0,4,37.803475,140.063558,37.75843,37.84852,140.006395,140.120721
5_0,0,5,37.803475,140.177884,37.75843,37.84852,140.120721,140.235047
6_0,0,6,37.803475,140.29221,37.75843,37.84852,140.235047,140.349373
7_0,0,7,37.803475,140.406536,37.75843,37.84852,140.349373,140.463699
8_0,0,8,37.803475,140.520862,37.75843,37.84852,140.463699,140.578025
0_1,1,0,37.893566,139.606254,37.84852,37.938611,139.549091,139.663417
1_1,1,1,37.893566,139.72058,37.84852,37.938611,139.663417,139.777743
2_1,1,2,37.893566,139.834906,37.84852,37.938611,139.777743,139.892069
3_1,1,3,37.893566,139.949232,37.84852,37.938611,139.892069,140.006395
4_1,1,4,37.893566,140.063558,37.84852,37.938611,140.006395,140.120721
5_1,1,5,37.893566,140.177884,37.84852,37.938611,140.120721,140.235047
6_1,1,6,37.893566,140.29221,37.84852,37.938611,140.235047,140.349373
7_1,1,7,37.893566,140.406536,37.84852,37.938611,140.349373,140.463699
8_1,1,8,37.893566,140.520862,37.84852,37.938611,140.463699,140.578025
0_2,2,0,37.983656,139.606254,37.938611,38.028701,139.549091,139.663417
1_2,2,1,37.983656,139.72058,37.938611,38.028701,139.663417,139.777743
2_2,2,2,37.983656,139.834906,37.938611,38.028701,139.777743,139.892069
3_2,2,3,37.983656,139.949232,37.938611,38.028701,139.892069,140.006395
4_2,2,4,37.983656,140.063558,37.938611,38.028701,140.006395,140.120721
5_2,2,5,37.983656,140.177884,37.938611,38.028701,140.120721,140.235047
6_2,2,6,37.983656,140.29221,37.938611,38.028701,140.235047,140.349373
7_2,2,7,37.983656,140.406536,37.938611,38.028701,140.349373,140.463699
8_2,2,8,37.983656,140.520862,37.938611,38.028701,140.463699,140.578025
0_3,3,0,38.073746,139.606254,38.028701,38.118791,139.549091,139.663417
1_3,3,1,38.073746,139.72058,38.028701,38.118791,139.663417,139.777743
2_3,3,2,38.073746,139.834906,38.028701,38.118791,139.777743,139.892069
3_3,3,3,38.073746,139.949232,38.028701,38.118791,139.892069,140.006395
4_3,3,4,38.073746,140.063558,38.028701,38.118791,140.006395,140.120721
5_3,3,5,38.073746,140.177884,38.028701,38.118791,140.120721,140.235047
6_3,3,6,38.073746,140.29221,38.028701,38.118791,140.235047,140.349373
7_3,3,7,38.073746,140.406536,38.028701,38.118791,140.349373,140.463699
8_3,3,8,38.073746,140.520862,38.028701,38.118791,140.463699,140.578025
0_4,4,0,38.163836,139.606254,38.118791,38.208881,139.549091,139.663417
1_4,4,1,38.163836,139.72058,38.118791,38.208881,139.663417,139.777743
2_4,4,2,38.163836,139.834906,38.118791,38.208881,139.777743,139.892069
