method,recall_at_20,delta_vs_b1,ci_low,ci_high,p_perm,bonferroni_significant,n_days
GLM-Logit,0.454342,0.049645,0.028103,0.071761,0.000200,yes,323
HierBayes,0.431640,0.026943,0.009254,0.045524,0.002799,yes,323
B5: B2+B3,0.427195,0.022499,-0.009476,0.052744,0.161368,no,323
B1: Static prior,0.404697,0.000000,,,,—,323
B4: B1+B3,0.418326,0.013629,0.000132,0.027399,0.042791,no,323
TTM,0.394955,-0.009741,-0.030538,0.010852,0.364327,no,323
B2: Recent MA,0.417503,0.012807,-0.019716,0.044238,0.430914,no,323
B3: DoY season,0.352104,-0.052593,-0.080677,-0.025632,0.000400,yes,323
ET,0.325786,-0.078911,-0.104442,-0.053452,0.000200,yes,323
B0: Random,0.080441,-0.324256,-0.353820,-0.293931,0.000200,yes,323
Poisson-GLM,0.003304,-0.401393,-0.427305,-0.376526,0.000200,yes,323
