method,recall_at_20,delta_vs_b1,ci_low,ci_high,p_perm,bonferroni_significant,n_days
GLM-Logit,0.547032,0.013946,-0.006235,0.032224,0.157568,no,213
HierBayes,0.542493,0.009406,-0.013720,0.032082,0.438512,no,213
B5: B2+B3,0.534180,0.001093,-0.027629,0.027635,0.935613,no,213
B1: Static prior,0.533086,0.000000,,,,—,213
B4: B1+B3,0.517145,-0.015942,-0.030988,-0.000671,0.040792,no,213
TTM,0.491663,-0.041424,-0.066030,-0.018525,0.000600,yes,213
B2: Recent MA,0.485739,-0.047347,-0.087275,-0.010909,0.011398,no,213
B3: DoY season,0.474870,-0.058216,-0.085284,-0.032550,0.000200,yes,213
ET,0.473885,-0.059201,-0.082665,-0.038646,0.000200,yes,213
B0: Random,0.125635,-0.407452,-0.441108,-0.373659,0.000200,yes,213
Poisson-GLM,0.026717,-0.506369,-0.538337,-0.474422,0.000200,yes,213
