date,method,n_positive_cells,recall_at_20,precision_at_20,true_positive_cells,false_positive_cells,false_negative_cells,jaccard_20_vs_HierBayes,jaccard_20_vs_B1: Static prior,jaccard_20_vs_TTM,jaccard_20_vs_ET,jaccard_20_vs_B5: B2+B3,jaccard_20_vs_B4: B1+B3,jaccard_20_vs_B2: Recent MA,jaccard_20_vs_B3: DoY season,jaccard_20_vs_B0: Random,jaccard_20_vs_GLM-Logit
2025-01-01,GLM-Logit,9,0.222222,0.100000,3_9 4_8,3_10 3_11 3_14 3_6 3_7 4_9 5_14 5_8 5_9 6_15 6_7 6_8 7_15 7_3 7_5 8_15 8_8 8_9,10_15 10_16 3_13 4_6 6_9 7_8 9_15,0.666667,0.428571,0.333333,0.538462,0.600000,0.538462,0.538462,0.250000,0.025641,
2025-01-01,HierBayes,9,0.333333,0.150000,3_9 4_8 7_8,3_10 3_11 3_14 3_6 3_7 4_10 4_9 5_8 5_9 6_14 6_15 6_7 7_15 7_3 7_5 8_15 9_14,10_15 10_16 3_13 4_6 6_9 9_15,,0.600000,0.290323,0.481481,0.428571,0.739130,0.379310,0.250000,0.000000,0.666667
2025-01-01,B1: Static prior,9,0.333333,0.150000,4_8 7_8 9_15,3_10 3_11 3_14 4_10 4_9 5_14 5_15 5_8 5_9 6_14 6_15 6_7 7_15 7_16 8_15 9_14 9_16,10_15 10_16 3_13 3_9 4_6 6_9,0.600000,,0.176471,0.333333,0.212121,0.600000,0.176471,0.142857,0.000000,0.428571
2025-01-01,TTM,9,0.111111,0.050000,3_9,10_13 10_17 3_10 3_11 3_12 3_8 4_9 5_7 5_8 6_13 6_14 6_3 6_8 7_15 7_3 7_5 7_7 8_5 8_8,10_15 10_16 3_13 4_6 4_8 6_9 7_8 9_15,0.290323,0.176471,,0.290323,0.428571,0.333333,0.481481,0.538462,0.000000,0.333333
2025-01-01,ET,9,0.222222,0.100000,3_9 4_8,3_11 3_14 3_7 4_10 4_7 4_9 5_14 5_8 6_13 6_15 6_3 7_3 7_5 8_15 8_6 8_8 8_9 9_14,10_15 10_16 3_13 4_6 6_9 7_8 9_15,0.481481,0.333333,0.290323,,0.379310,0.538462,0.333333,0.379310,0.025641,0.538462
2025-01-01,B5: B2+B3,9,0.222222,0.100000,3_9 4_8,3_10 3_11 3_14 3_6 3_7 3_8 4_9 5_8 6_8 7_15 7_3 7_4 7_5 7_6 7_9 8_5 8_8 8_9,10_15 10_16 3_13 4_6 6_9 7_8 9_15,0.428571,0.212121,0.428571,0.379310,,0.379310,0.904762,0.333333,0.025641,0.600000
2025-01-01,B4: B1+B3,9,0.444444,0.200000,3_9 4_8 7_8 9_15,3_10 3_11 3_14 4_10 4_9 5_8 5_9 6_14 6_15 7_15 7_3 7_5 8_15 8_6 8_8 9_14,10_15 10_16 3_13 4_6 6_9,0.739130,0.600000,0.333333,0.538462,0.379310,,0.333333,0.333333,0.000000,0.538462
2025-01-01,B2: Recent MA,9,0.111111,0.050000,3_9,10_13 3_10 3_11 3_14 3_6 3_7 3_8 4_9 5_8 6_8 7_15 7_3 7_4 7_5 7_6 7_9 8_5 8_8 8_9,10_15 10_16 3_13 4_6 4_8 6_9 7_8 9_15,0.379310,0.176471,0.481481,0.333333,0.904762,0.333333,,0.333333,0.025641,0.538462
2025-01-01,B3: DoY season,9,0.222222,0.100000,3_9 4_8,10_13 10_14 10_17 3_12 3_8 4_9 5_7 5_8 5_9 6_13 6_3 7_3 7_5 7_6 8_5 8_6 8_8 9_14,10_15 10_16 3_13 4_6 6_9 7_8 9_15,0.250000,0.142857,0.538462,0.379310,0.333333,0.333333,0.333333,,0.000000,0.250000
2025-01-01,B0: Random,9,0.000000,0.000000,,0_11 0_5 10_1 10_18 11_12 11_14 11_3 11_5 1_11 1_2 4_19 5_3 6_11 6_16 7_2 8_1 8_13 8_17 8_9 9_10,10_15 10_16 3_13 3_9 4_6 4_8 6_9 7_8 9_15,0.000000,0.000000,0.000000,0.025641,0.025641,0.000000,0.025641,0.000000,,0.025641
2025-01-02,GLM-Logit,9,0.777778,0.350000,3_13 3_14 3_9 4_8 4_9 7_8 8_8,3_10 3_11 3_6 3_7 5_14 5_8 6_15 6_7 7_15 7_3 7_5 8_15 9_15,5_9 7_7,0.666667,0.481481,0.428571,0.481481,0.481481,0.600000,0.481481,0.212121,0.025641,
2025-01-02,HierBayes,9,0.666667,0.300000,3_14 3_9 4_8 4_9 5_9 7_8,3_10 3_11 3_6 3_7 4_10 5_8 6_14 6_15 6_7 7_15 7_3 7_5 8_15 9_14,3_13 7_7 8_8,,0.600000,0.428571,0.481481,0.428571,0.739130,0.428571,0.250000,0.025641,0.666667
