date,method,n_positive_cells,recall_at_20,precision_at_20,true_positive_cells,false_positive_cells,false_negative_cells,jaccard_20_vs_HierBayes,jaccard_20_vs_B1: Static prior,jaccard_20_vs_TTM,jaccard_20_vs_ET,jaccard_20_vs_B5: B2+B3,jaccard_20_vs_B4: B1+B3,jaccard_20_vs_B2: Recent MA,jaccard_20_vs_B3: DoY season,jaccard_20_vs_B0: Random,jaccard_20_vs_GLM-Logit
2025-01-01,GLM-Logit,1,0.000000,0.000000,,1_10 2_10 2_9 3_10 3_12 3_13 3_3 4_1 4_3 4_4 5_1 5_2 5_3 5_4 6_10 6_12 6_4 7_5 7_6 7_9,3_11,0.818182,0.818182,0.333333,0.739130,0.481481,0.818182,0.333333,0.250000,0.111111,
2025-01-01,HierBayes,1,0.000000,0.000000,,1_10 1_11 2_10 2_9 3_10 3_12 3_13 3_3 4_1 4_3 4_4 5_1 5_2 5_3 5_4 6_10 6_4 7_4 7_5 7_9,3_11,,0.666667,0.333333,0.666667,0.481481,0.666667,0.333333,0.250000,0.142857,0.818182
2025-01-01,B1: Static prior,1,1.000000,0.050000,3_11,1_10 2_10 2_9 3_10 3_12 3_13 3_3 4_1 4_2 4_3 4_4 5_1 5_2 5_3 6_12 6_4 7_5 7_6 7_9,,0.666667,,0.290323,0.666667,0.481481,1.000000,0.290323,0.290323,0.111111,0.818182
2025-01-01,TTM,1,0.000000,0.000000,,1_10 2_10 2_12 2_9 3_10 3_14 3_2 4_0 4_11 4_3 5_3 5_4 5_5 5_7 6_4 7_12 7_4 7_6 7_9 8_10,3_11,0.333333,0.290323,,0.333333,0.290323,0.290323,0.250000,0.142857,0.111111,0.333333
2025-01-01,ET,1,0.000000,0.000000,,1_10 2_10 2_12 2_9 3_10 3_12 3_13 3_3 4_1 4_13 4_3 4_4 5_1 5_3 6_10 6_4 7_5 7_6 7_9 8_7,3_11,0.666667,0.666667,0.333333,,0.538462,0.666667,0.379310,0.250000,0.052632,0.739130
2025-01-01,B5: B2+B3,1,1.000000,0.050000,3_11,0_0 1_10 2_10 2_12 2_9 3_10 3_3 4_0 4_1 4_3 4_4 5_1 6_1 6_10 6_4 7_1 7_5 7_9 8_1,,0.481481,0.481481,0.290323,0.538462,,0.481481,0.600000,0.538462,0.052632,0.481481
2025-01-01,B4: B1+B3,1,1.000000,0.050000,3_11,1_10 2_10 2_9 3_10 3_12 3_13 3_3 4_1 4_2 4_3 4_4 5_1 5_2 5_3 6_12 6_4 7_5 7_6 7_9,,0.666667,1.000000,0.290323,0.666667,0.481481,,0.290323,0.290323,0.111111,0.818182
2025-01-01,B2: Recent MA,1,0.000000,0.000000,,0_0 0_2 1_0 1_10 1_2 2_0 2_10 2_12 2_9 3_10 4_0 4_4 5_1 6_10 6_4 7_0 7_1 7_5 7_9 8_1,3_11,0.333333,0.290323,0.250000,0.379310,0.600000,0.290323,,0.379310,0.052632,0.333333
2025-01-01,B3: DoY season,1,1.000000,0.050000,3_11,0_0 0_1 1_0 1_1 1_10 2_1 2_9 3_10 3_3 4_0 4_3 4_4 5_0 5_1 6_1 7_1 7_5 8_0 8_1,,0.250000,0.290323,0.142857,0.250000,0.538462,0.290323,0.379310,,0.081081,0.250000
2025-01-01,B0: Random,1,0.000000,0.000000,,0_11 0_2 0_8 1_11 1_12 1_15 1_9 2_0 2_1 4_1 4_11 4_2 4_3 5_0 5_14 5_2 5_4 7_12 7_15 8_4,3_11,0.142857,0.111111,0.111111,0.052632,0.052632,0.111111,0.052632,0.081081,,0.111111
